id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
220c14fe-b62a-44a1-b3a6-f93aa10151e5,Stock_Market_Prediction,training multiple models,,2023-01-23 18:08:26,150.29403567314148,0.0040224218027268,0.0019982587031586,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
db91a7d5-f7b7-4ea5-9c68-c3f56b3654c3,Stock_Market_Prediction,training multiple models,,2023-01-23 18:11:13,30.29670524597168,0.0010050098725896,0.000499268804505,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
0610967e-71a5-4071-aa01-2a541353ca26,Stock_Market_Prediction,training multiple models,,2023-01-23 23:13:09,300.3322329521179,0.0129878072012002,0.0064520828614122,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
bb891ed8-0a3b-469b-bf94-f90e3b3de1b8,Stock_Market_Prediction,training multiple models,,2023-01-23 23:21:55,340.27862453460693,0.0147399463260049,0.0073225105358327,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
3d602100-b128-4e21-af45-4e9426a721a8,Stock_Market_Prediction,training multiple models,,2023-01-23 23:29:21,2380.341799974441,0.092235273872052,0.045820639354158,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
6c808229-829d-4cee-95c7-f51c9b0b8ead,Stock_Market_Prediction,training multiple models,,2023-01-24 00:09:22,6000.6898188591,0.2508615714285601,0.12462301145428,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
75feec10-d3fb-4e65-abcc-3a8335f83abe,Stock_Market_Prediction,training multiple models,,2023-01-24 01:52:21,630.9462683200836,0.0279084698349824,0.0138643696446225,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
867de622-4440-4cdc-bbfd-0be90a2fc5f1,Stock_Market_Prediction,training multiple models,,2023-01-24 02:07:17,360.3766388893128,0.0158776362348557,0.0078876921287516,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
9676ee45-c5b2-4b14-b5dd-2fe9f64faa28,Stock_Market_Prediction,training multiple models,,2023-01-24 02:16:12,280.34343457221985,0.0075279743106083,0.0037397470780239,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,UZ/Tashkent,
8bcc52a5-6524-4c3d-9cc1-3627f56243d5,Stock_Market_Prediction,training multiple models,,2023-01-24 04:00:48,60.32381820678711,0.0016076030302648,0.0003867249849605,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,RU/Moscow,
b070115f-fac0-4995-a776-8797a4602381,Stock_Market_Prediction,training multiple models,N/A,2023-01-24 04:01:59,24255.206050157547,0.8221909436622754,0.19778625340739697,"AMD Ryzen 7 2700 Eight-Core Processor/1 device(s), TDP:65.0",NVIDIA GeForce RTX 3080 Ti 1 device(s),Linux,RU/Moscow,
0e1d91aa-6ec4-425c-b66c-fbcfd204e100,Stock_Market_Prediction,tft_mpnet,,2023-01-25 18:27:08,30.280176162719727,0.0011221128657631,0.0002699354709879,"Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz/2 device(s), TDP:185.0",NVIDIA A100 80GB PCIe 2 device(s),Linux,RU/Moscow,
be59ecae-7043-4d2d-9ae7-ae129d2ed0dc,Stock_Market_Prediction,tft_mpnet,,2023-01-25 18:28:56,14560.26966571808,0.5670459378074472,0.1364085707989595,"Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz/2 device(s), TDP:185.0",NVIDIA A100 80GB PCIe 2 device(s),Linux,RU/Moscow,
87ef890e-0b46-4558-80cb-2d7262cf7f3a,Stock_Market_Prediction,tft_mpnet,,2023-01-25 22:31:47,28710.58791494369,1.216832317056803,0.2927211821911845,"Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz/2 device(s), TDP:185.0",NVIDIA A100 80GB PCIe 2 device(s),Linux,RU/Moscow,
a075b63e-e912-4722-8536-e863828dec8f,Stock_Market_Prediction,tft_mpnet,,2023-01-26 06:30:32,520.2489981651306,0.0204682368617574,0.0049238390594643,"Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz/2 device(s), TDP:185.0",NVIDIA A100 80GB PCIe 2 device(s),Linux,RU/Moscow,
ce2a3f2c-77da-47ab-9e60-1f433289aefe,Stock_Market_Prediction,tft_mpnet,,2023-01-26 06:39:24,1000.2820997238159,0.03915424228927607,0.00941894452510825,"Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz/2 device(s), TDP:185.0",NVIDIA A100 80GB PCIe 2 device(s),Linux,RU/Moscow,
