lr-Adam,step,train_loss,epoch,val_loss,test_loss
0.001,0,,,,
,0,0.0005995613755658269,0,,
,1,0.0007084410754032433,0,,
,2,0.0003224011161364615,0,,
,3,0.0002458484086673707,0,,
,4,0.0002526385651435703,0,,
,5,0.0002839566732291132,0,,
,6,0.0004834932624362409,0,,
,7,0.0002782265655696392,0,,
,8,0.00013802795729134232,0,,
,9,0.00019437896844465286,0,,
,10,0.00043316002120263875,0,,
,11,0.00046641234075650573,0,,
,12,0.00037040261668153107,0,,
,13,0.00031125961686484516,0,,
,14,0.0002503572904970497,0,,
,15,0.0002621405874378979,0,,
,15,,0,0.00030680064810439944,
0.001,16,,,,
,16,0.0003170092240907252,1,,
,17,0.00044763428741134703,1,,
,18,0.00021089355868753046,1,,
,19,0.00026716929278336465,1,,
,20,0.00017187635239679366,1,,
,21,0.00023665752087254077,1,,
,22,0.00039213261334225535,1,,
,23,0.000213751191040501,1,,
,24,0.00016182218678295612,1,,
,25,0.00031665139249525964,1,,
,26,0.00043870648369193077,1,,
,27,0.00037529339897446334,1,,
,28,0.00036252482095733285,1,,
,29,0.0002592408563941717,1,,
,30,0.00014440863742493093,1,,
,31,0.000130094398627989,1,,
,31,,1,0.0008379289065487683,
0.001,32,,,,
,32,0.0012839138507843018,2,,
,33,0.0012568876845762134,2,,
,34,0.0006865967880003154,2,,
,35,0.000327979534631595,2,,
,36,0.0001942197122843936,2,,
,37,0.00019132814486511052,2,,
,38,0.00042440841207280755,2,,
,39,0.00020854288595728576,2,,
,40,0.00011360695498296991,2,,
,41,0.0001693039375822991,2,,
,42,0.0003665302356239408,2,,
,43,0.0003613267035689205,2,,
,44,0.00029437802731990814,2,,
,45,0.00026472395984455943,2,,
,46,0.0001773663971107453,2,,
,47,0.00015676108887419105,2,,
,47,,2,0.0007430873811244965,
0.001,48,,,,
,48,0.0012257994385436177,3,,
,49,0.0011685816571116447,3,,
,50,0.0006504961056634784,3,,
,51,0.0005476370570249856,3,,
,52,0.0003867915947921574,3,,
,53,0.00020383630180731416,3,,
,54,0.0003665026160888374,3,,
,55,0.00018671546422410756,3,,
,56,9.801611304283142e-05,3,,
,57,0.00016786492778919637,3,,
,58,0.000347143184626475,3,,
,59,0.00034640624653548,3,,
,60,0.0002737176255322993,3,,
,61,0.0002281864290125668,3,,
,62,0.00012883159797638655,3,,
,63,0.00013705955643672496,3,,
,63,,3,0.0007114702020771801,
0.001,64,,,,
,64,0.001251659239642322,4,,
,65,0.0012474210234358907,4,,
,66,0.0005323991645127535,4,,
,67,0.000257191393757239,4,,
,68,0.00016982607485260814,4,,
,69,0.00016153008618857712,4,,
,70,0.0003974132123403251,4,,
,71,0.00021915204706601799,4,,
,72,0.00015103786427062005,4,,
