14.68679,5.48000,8.95150,5.80000,16.57313,16.65190,26.77000,1.87200
14.76571,5.46000,8.87550,5.81000,16.64461,16.72372,27.40000,1.84733
14.92964,5.46000,8.88050,6.31000,16.41373,16.49174,27.68000,1.80800
15.08571,5.43000,9.13050,6.18000,16.18982,16.26677,28.11000,1.79400
15.06179,5.59000,8.92800,6.27000,15.50339,15.57708,27.74000,1.81667
15.11571,5.71000,8.96700,6.63000,15.52033,15.59409,27.84000,1.84133
15.09107,5.81000,8.94500,6.87000,15.59056,15.66467,27.72000,1.88200
15.04964,5.82000,8.79650,6.79000,15.68222,15.75676,28.00000,1.88333
14.99321,5.66000,8.92100,6.61000,15.56640,15.64039,28.25000,1.51933
15.16786,5.73000,9.08300,6.48000,15.65582,15.73023,28.26000,1.77333
15.32536,5.97000,9.47200,6.80000,15.76366,15.83859,28.23000,1.78733
15.27679,6.22000,9.72250,6.96000,15.92954,16.00525,28.12000,1.78400
15.01071,6.42000,9.54650,7.07000,14.59504,14.66441,29.71000,1.77333
15.26464,6.52000,9.30450,7.25000,14.58334,14.65265,29.73000,1.78467
15.01464,6.53000,9.35000,7.29000,14.46902,14.53779,29.34000,1.82800
15.95214,6.73000,9.39000,7.35000,14.18408,14.25150,29.56000,1.86467
15.87964,6.77000,9.66600,7.30000,14.14946,14.21672,29.50000,1.92933
15.97429,6.82000,9.76850,7.29000,14.44536,14.51401,29.23000,1.95533
16.17893,6.74000,9.60750,7.07000,14.38832,14.45671,29.61000,1.97133
16.30286,6.71000,9.72200,7.13000,14.44859,14.51727,29.53000,1.93800
16.29250,6.90000,8.97300,7.36000,14.46653,14.53528,29.89000,1.97200
16.25429,6.93000,9.08600,7.45000,14.57313,14.64239,29.95000,2.01667
16.41714,7.08000,9.38400,7.84000,14.85258,14.92317,30.24000,2.07667
16.57036,6.92000,9.15700,7.97000,15.17039,15.24249,30.20000,2.12000
16.74393,7.13000,9.20950,7.85000,15.11260,15.18443,30.35000,2.10667
17.02429,7.25000,9.27400,8.13000,15.18932,15.26151,30.66000,2.12867
17.61321,7.24000,9.24900,8.18000,15.22942,15.30180,30.77000,2.17200
17.62214,7.05000,9.27700,8.07000,15.09118,15.16291,30.50000,2.07333
17.95000,7.29000,9.57950,8.25000,15.24785,15.32032,30.58000,2.09933
18.19500,7.32000,9.56500,7.98000,15.18707,15.25926,30.25000,2.21133
17.77393,7.30000,9.22350,7.78000,15.08247,15.15415,30.05000,2.24000
17.93607,7.59000,8.99650,8.09000,15.10638,15.17818,31.29000,2.27867
17.93286,7.42000,9.12500,8.02000,15.05955,15.13113,31.25000,2.33133
18.38750,7.28000,9.11300,8.11000,15.29268,15.36537,31.44000,2.30000
18.32286,7.14000,9.02900,7.95000,15.14174,15.21371,31.27000,2.28133
18.44250,7.29000,8.94450,8.02000,15.09617,15.16792,31.37000,2.30200
18.65750,7.46000,8.95650,7.88000,15.19056,15.26276,31.48000,2.25000
18.77714,7.47000,8.92650,8.04000,15.17587,15.24800,31.35000,2.24133
19.12179,7.52000,9.19000,8.12000,15.40202,15.47523,31.87000,2.25400
19.37286,7.35000,8.98450,7.97000,15.39853,15.47172,31.74000,2.22733
19.44536,7.51000,9.00200,8.12000,15.50189,15.57558,32.29000,2.29400
19.47071,7.46000,8.96500,8.13000,15.47325,15.54680,32.08000,2.26933
19.04143,7.07000,9.01300,7.97000,15.29891,15.37162,31.80000,2.25133
18.93786,6.90000,9.05450,7.71000,15.06752,15.13914,31.56000,2.20733
18.95321,7.17000,9.18850,8.02000,15.11335,15.18519,31.84000,2.20800
19.35679,7.47000,9.38200,8.06000,15.12182,15.19369,32.01000,2.20467
19.47036,7.58000,9.21600,8.05000,14.95021,15.02127,31.99000,2.31600
19.71429,7.50000,9.16950,7.99000,15.07226,15.14389,32.04000,2.40067
20.28929,7.76000,9.22950,8.49000,15.38683,15.45996,32.67000,2.40600
