lr-Adam,step,train_loss,epoch,val_loss,test_loss
1e-05,0,,,,
,0,0.0016568824648857117,0,,
,1,0.0029931487515568733,0,,
,2,0.005873211659491062,0,,
,3,0.008744155056774616,0,,
,3,,0,0.01314379833638668,
1e-05,4,,,,
,4,0.0015970959793776274,1,,
,5,0.002914648037403822,1,,
,6,0.005718288943171501,1,,
,7,0.008497411385178566,1,,
,7,,1,0.01277688518166542,
1e-05,8,,,,
,8,0.0015611975686624646,2,,
,9,0.0028445334173738956,2,,
,10,0.00556314829736948,2,,
,11,0.008246921934187412,2,,
,11,,2,0.012396810576319695,
1e-05,12,,,,
,12,0.001527873333543539,3,,
,13,0.0027759892400354147,3,,
,14,0.005408699624240398,3,,
,15,0.0079948166385293,3,,
,15,,3,0.012021487578749657,
1e-05,16,,,,
,16,0.0014960193075239658,4,,
,17,0.002708657179027796,4,,
,18,0.00525605957955122,4,,
,19,0.007749577518552542,4,,
,19,,4,0.011653585359454155,
1e-05,20,,,,
,20,0.0014641676098108292,5,,
,21,0.0026427221018821,5,,
,22,0.0051084584556519985,5,,
,23,0.007508573587983847,5,,
,23,,5,0.011291560716927052,
1e-05,24,,,,
,24,0.0014332549180835485,6,,
,25,0.002578155603259802,6,,
,26,0.004960760474205017,6,,
,27,0.007270099129527807,6,,
,27,,6,0.010932890698313713,
1e-05,28,,,,
,28,0.0014034827472642064,7,,
,29,0.0025146566331386566,7,,
,30,0.004817580804228783,7,,
,31,0.00704169599339366,7,,
,31,,7,0.010590690188109875,
1e-05,32,,,,
,32,0.0013737209374085069,8,,
,33,0.002452706918120384,8,,
,34,0.004677926190197468,8,,
,35,0.006813745014369488,8,,
,35,,8,0.010246685706079006,
1e-05,36,,,,
,36,0.0013452062848955393,9,,
,37,0.0023918049409985542,9,,
,38,0.0045406571589410305,9,,
,39,0.006594313308596611,9,,
,39,,9,0.009916027076542377,
1e-05,40,,,,
,40,0.0013168186414986849,10,,
,41,0.0023323583882302046,10,,
,42,0.004407823085784912,10,,
,43,0.006380847189575434,10,,
,43,,10,0.009593479335308075,
1e-05,44,,,,
,44,0.0012889006175100803,11,,
,45,0.0022738464176654816,11,,
,46,0.004276730585843325,11,,
,47,0.006169608794152737,11,,
,47,,11,0.009276654571294785,
1e-05,48,,,,
,48,0.001262166304513812,12,,
,49,0.002216966822743416,12,,
,50,0.004149279557168484,12,,
,51,0.005965039599686861,12,,
,51,,12,0.008973097428679466,
1e-05,52,,,,
,52,0.001235435949638486,13,,
,53,0.002160691423341632,13,,
,54,0.00402503926306963,13,,
,55,0.005767351016402245,13,,
,55,,13,0.008675429970026016,
1e-05,56,,,,
,56,0.001209411770105362,14,,
,57,0.002105939667671919,14,,
,58,0.0039035440422594547,14,,
,59,0.005573216360062361,14,,
,59,,14,0.008386462926864624,
1e-05,60,,,,
,60,0.001183855812996626,15,,
,61,0.0020523343700915575,15,,
,62,0.003785037435591221,15,,
,63,0.005384509451687336,15,,
,63,,15,0.0081036277115345,
1e-05,64,,,,
,64,0.0011588891502469778,16,,
,65,0.002000161213800311,16,,
,66,0.003669501282274723,16,,
,67,0.005198453087359667,16,,
,67,,16,0.007826489396393299,
1e-05,68,,,,
,68,0.001134718069806695,17,,
,69,0.0019488218240439892,17,,
,70,0.0035571393091231585,17,,
,71,0.0050199925899505615,17,,
,71,,17,0.007560725323855877,
1e-05,72,,,,
,72,0.0011105751618742943,18,,
,73,0.0018986627692356706,18,,
,74,0.0034477419685572386,18,,
,75,0.0048467256128787994,18,,
,75,,18,0.007297648582607508,
1e-05,76,,,,
,76,0.0010872359853237867,19,,
,77,0.0018499097786843777,19,,
,78,0.003340797033160925,19,,
,79,0.0046759010292589664,19,,
,79,,19,0.007047573570162058,
1e-05,80,,,,
,80,0.0010642725974321365,20,,
,81,0.0018018182599917054,20,,
,82,0.003235842101275921,20,,
,83,0.004510786384344101,20,,
,83,,20,0.006799792405217886,
1e-05,84,,,,
,84,0.0010420287726446986,21,,
,85,0.0017550155753269792,21,,
,86,0.0031348182819783688,21,,
,87,0.004350421018898487,21,,
,87,,21,0.006560469977557659,
1e-05,88,,,,
,88,0.0010200415272265673,22,,
,89,0.0017092576017603278,22,,
,90,0.0030359067022800446,22,,
,91,0.00419477466493845,22,,
,91,,22,0.006328138988465071,
1e-05,92,,,,
