Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418457,55664000,0,0
2015-01-05 00:00:00-05:00,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,55484000,0,0
2015-01-06 00:00:00-05:00,15.112000465393066,15.149999618530273,14.619000434875488,14.76449966430664,70380000,0,0
2015-01-07 00:00:00-05:00,14.875,15.064000129699707,14.766500473022461,14.920999526977539,52806000,0,0
2015-01-08 00:00:00-05:00,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,61768000,0,0
2015-01-09 00:00:00-05:00,15.074000358581543,15.143500328063965,14.833999633789062,14.846500396728516,51848000,0,0
2015-01-12 00:00:00-05:00,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,68428000,0,0
2015-01-13 00:00:00-05:00,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,82728000,0,0
2015-01-14 00:00:00-05:00,14.596500396728516,14.795499801635742,14.324999809265137,14.66349983215332,110774000,0,0
2015-01-15 00:00:00-05:00,14.699999809265137,14.800000190734863,14.340999603271484,14.34749984741211,88384000,0,0
2015-01-16 00:00:00-05:00,14.314000129699707,14.53950023651123,14.262499809265137,14.536999702453613,69564000,0,0
2015-01-20 00:00:00-05:00,14.629500389099121,14.668000221252441,14.319499969482422,14.472000122070312,61502000,0,0
2015-01-21 00:00:00-05:00,14.482000350952148,15.300000190734863,14.36299991607666,14.862500190734863,201302000,0,0
2015-01-22 00:00:00-05:00,15.0,15.612500190734863,15.0,15.515999794006348,107252000,0,0
2015-01-23 00:00:00-05:00,15.404000282287598,15.846500396728516,15.38599967956543,15.619500160217285,89928000,0,0
2015-01-26 00:00:00-05:00,15.590999603271484,15.649999618530273,15.37600040435791,15.482999801635742,63394000,0,0
2015-01-27 00:00:00-05:00,15.3149995803833,15.51200008392334,15.131500244140625,15.337499618530273,58406000,0,0
2015-01-28 00:00:00-05:00,15.490500450134277,15.575499534606934,15.1899995803833,15.195500373840332,61276000,0,0
2015-01-29 00:00:00-05:00,15.236499786376953,15.640000343322754,14.966500282287598,15.58899974822998,173132000,0,0
2015-01-30 00:00:00-05:00,17.31599998474121,17.975000381469727,17.03700065612793,17.726499557495117,477122000,0,0
2015-02-02 00:00:00-05:00,17.502500534057617,18.25,17.500499725341797,18.223499298095703,204638000,0,0
2015-02-03 00:00:00-05:00,18.01449966430664,18.391000747680664,18.010499954223633,18.177499771118164,124252000,0,0
2015-02-04 00:00:00-05:00,17.91900062561035,18.375,17.911500930786133,18.237499237060547,83398000,0,0
2015-02-05 00:00:00-05:00,18.299999237060547,18.940000534057617,18.295000076293945,18.694499969482422,144952000,0,0
2015-02-06 00:00:00-05:00,18.743499755859375,18.79949951171875,18.550500869750977,18.714000701904297,77848000,0,0
2015-02-09 00:00:00-05:00,18.549999237060547,18.720500946044922,18.360000610351562,18.527999877929688,54492000,0,0
2015-02-10 00:00:00-05:00,18.559499740600586,18.71500015258789,18.425500869750977,18.649999618530273,45744000,0,0
2015-02-11 00:00:00-05:00,18.561500549316406,18.854999542236328,18.55500030517578,18.756999969482422,55730000,0,0
2015-02-12 00:00:00-05:00,18.7549991607666,18.925500869750977,18.657499313354492,18.85849952697754,55822000,0,0
2015-02-13 00:00:00-05:00,18.920499801635742,19.149999618530273,18.850500106811523,19.09149932861328,69502000,0,0
2015-02-17 00:00:00-05:00,18.88599967956543,18.999500274658203,18.633499145507812,18.771499633789062,73464000,0,0
2015-02-18 00:00:00-05:00,18.68899917602539,18.836999893188477,18.642499923706055,18.668500900268555,53012000,0,0
2015-02-19 00:00:00-05:00,18.67449951171875,19.0939998626709,18.671499252319336,18.950000762939453,59076000,0,0
2015-02-20 00:00:00-05:00,18.930999755859375,19.184999465942383,18.79199981689453,19.183000564575195,65160000,0,0
2015-02-23 00:00:00-05:00,19.172000885009766,19.226999282836914,18.899999618530273,19.006999969482422,43540000,0,0
2015-02-24 00:00:00-05:00,18.9325008392334,19.02400016784668,18.808000564575195,18.929500579833984,38416000,0,0
2015-02-25 00:00:00-05:00,18.863500595092773,19.392499923706055,18.82699966430664,19.26849937438965,63490000,0,0
2015-02-26 00:00:00-05:00,19.203500747680664,19.4685001373291,19.163999557495117,19.239999771118164,53742000,0,0
2015-02-27 00:00:00-05:00,19.200000762939453,19.29949951171875,18.989500045776367,19.007999420166016,50646000,0,0
2015-03-02 00:00:00-05:00,19.042499542236328,19.295000076293945,18.974000930786133,19.283000946044922,42784000,0,0
2015-03-03 00:00:00-05:00,19.197500228881836,19.30500030517578,19.079999923706055,19.230499267578125,38930000,0,0
2015-03-04 00:00:00-05:00,19.285499572753906,19.395000457763672,19.109500885009766,19.13599967956543,45182000,0,0
2015-03-05 00:00:00-05:00,19.280500411987305,19.42099952697754,19.194499969482422,19.39150047302246,53870000,0,0
2015-03-06 00:00:00-05:00,19.275999069213867,19.350000381469727,18.944000244140625,19.004499435424805,52540000,0,0
2015-03-09 00:00:00-04:00,18.920000076293945,18.96649932861328,18.763999938964844,18.92799949645996,46228000,0,0
2015-03-10 00:00:00-04:00,18.872499465942383,18.888500213623047,18.458999633789062,18.475500106811523,62420000,0,0
2015-03-11 00:00:00-04:00,18.530500411987305,18.667499542236328,18.312999725341797,18.318500518798828,49902000,0,0
2015-03-12 00:00:00-04:00,18.44099998474121,18.774999618530273,18.375999450683594,18.711999893188477,56200000,0,0
2015-03-13 00:00:00-04:00,18.576000213623047,18.699499130249023,18.333999633789062,18.52899932861328,52234000,0,0
2015-03-16 00:00:00-04:00,18.518999099731445,18.69700050354004,18.336000442504883,18.667499542236328,47082000,0,0
2015-03-17 00:00:00-04:00,18.555500030517578,18.725000381469727,18.48200035095215,18.59600067138672,40740000,0,0
2015-03-18 00:00:00-04:00,18.49850082397461,18.79949951171875,18.334999084472656,18.756999969482422,53082000,0,0
2015-03-19 00:00:00-04:00,18.693500518798828,18.855499267578125,18.609500885009766,18.66200065612793,38314000,0,0
2015-03-20 00:00:00-04:00,18.81450080871582,18.9685001373291,18.79599952697754,18.92449951171875,75272000,0,0
2015-03-23 00:00:00-04:00,18.903499603271484,19.088499069213867,18.746999740600586,18.75550079345703,44786000,0,0
2015-03-24 00:00:00-04:00,18.699499130249023,18.761999130249023,18.613500595092773,18.704500198364258,44564000,0,0
2015-03-25 00:00:00-04:00,18.758499145507812,19.024999618530273,18.51449966430664,18.54800033569336,68590000,0,0
2015-03-26 00:00:00-04:00,18.47949981689453,18.56999969482422,18.282499313354492,18.36750030517578,58600000,0,0
