lr-Adam,step,train_loss,epoch,val_loss,test_loss
1e-05,0,,,,
,0,0.007112637162208557,0,,
,1,0.007197211030870676,0,,
,2,0.0063627492636442184,0,,
,3,0.006217479705810547,0,,
,3,,0,0.006540441885590553,
1e-05,4,,,,
,4,0.0068445513024926186,1,,
,5,0.007024568505585194,1,,
,6,0.006203074008226395,1,,
,7,0.006102317478507757,1,,
,7,,1,0.006382633000612259,
1e-05,8,,,,
,8,0.006706970743834972,2,,
,9,0.006889021955430508,2,,
,10,0.006018605548888445,2,,
,11,0.005842810962349176,2,,
,11,,2,0.006221051327884197,
1e-05,12,,,,
,12,0.006507224403321743,3,,
,13,0.006719551980495453,3,,
,14,0.005884670652449131,3,,
,15,0.005752479191869497,3,,
,15,,3,0.006061353255063295,
1e-05,16,,,,
,16,0.006449516396969557,4,,
,17,0.0066098109818995,4,,
,18,0.005727873183786869,4,,
,19,0.005544658284634352,4,,
,19,,4,0.005904010962694883,
1e-05,20,,,,
,20,0.006232036277651787,5,,
,21,0.006419344339519739,5,,
,22,0.0055924891494214535,5,,
,23,0.005410513374954462,5,,
,23,,5,0.005748615134507418,
1e-05,24,,,,
,24,0.006113209296017885,6,,
,25,0.006268109194934368,6,,
,26,0.005390497390180826,6,,
,27,0.0052604773081839085,6,,
,27,,6,0.005596520844846964,
1e-05,28,,,,
,28,0.005953263491392136,7,,
,29,0.006108974106609821,7,,
,30,0.005296668037772179,7,,
,31,0.005174669437110424,7,,
,31,,7,0.005447749048471451,
1e-05,32,,,,
,32,0.005803428124636412,8,,
,33,0.005982507951557636,8,,
,34,0.005065476056188345,8,,
,35,0.00506590586155653,8,,
,35,,8,0.005301573779433966,
1e-05,36,,,,
,36,0.0057030729949474335,9,,
,37,0.005846955813467503,9,,
,38,0.004975257907062769,9,,
,39,0.004761225543916225,9,,
,39,,9,0.005158516578376293,
1e-05,40,,,,
,40,0.005580219905823469,10,,
,41,0.005684840492904186,10,,
,42,0.004829851910471916,10,,
,43,0.004591015167534351,10,,
,43,,10,0.005019423086196184,
1e-05,44,,,,
,44,0.0054323021322488785,11,,
,45,0.0055360132828354836,11,,
,46,0.004659814760088921,11,,
,47,0.004526330623775721,11,,
,47,,11,0.004883497022092342,
1e-05,48,,,,
,48,0.005291178822517395,12,,
,49,0.005461393389850855,12,,
,50,0.004585551097989082,12,,
,51,0.004415604751557112,12,,
,51,,12,0.004750697873532772,
1e-05,52,,,,
,52,0.005157659761607647,13,,
,53,0.005304207559674978,13,,
,54,0.004426854662597179,13,,
,55,0.004252660553902388,13,,
,55,,13,0.004620800260454416,
1e-05,56,,,,
,56,0.00504190381616354,14,,
,57,0.005207049660384655,14,,
,58,0.004261469468474388,14,,
,59,0.0040759737603366375,14,,
,59,,14,0.004494205582886934,
1e-05,60,,,,
,60,0.0049003418534994125,15,,
,61,0.005052789114415646,15,,
,62,0.004184515215456486,15,,
,63,0.003987920004874468,15,,
,63,,15,0.004371376242488623,
1e-05,64,,,,
,64,0.004761975258588791,16,,
,65,0.004960151389241219,16,,
,66,0.004025040194392204,16,,
,67,0.003789513139054179,16,,
,67,,16,0.004250789526849985,
1e-05,68,,,,
,68,0.004687158390879631,17,,
,69,0.004841087851673365,17,,
,70,0.003948888275772333,17,,
,71,0.003714917926117778,17,,
,71,,17,0.004133802372962236,
1e-05,72,,,,
,72,0.004593764431774616,18,,
,73,0.004708375781774521,18,,
,74,0.0038129372987896204,18,,
,75,0.003609949257224798,18,,
,75,,18,0.004019883926957846,
1e-05,76,,,,
,76,0.004451896995306015,19,,
,77,0.004631316289305687,19,,
,78,0.0037299268878996372,19,,
,79,0.003579871030524373,19,,
,79,,19,0.0039084190502762794,
1e-05,80,,,,
,80,0.004349951632320881,20,,
,81,0.004432623274624348,20,,
,82,0.0035659531131386757,20,,
,83,0.003389553399756551,20,,
,83,,20,0.0038000084459781647,
1e-05,84,,,,
,84,0.0042489394545555115,21,,
,85,0.0043711368925869465,21,,
,86,0.003488007001578808,21,,
,87,0.0033151691313833,21,,
,87,,21,0.003694707527756691,
1e-05,88,,,,
,88,0.004165311343967915,22,,
,89,0.004267251119017601,22,,
,90,0.0033538886345922947,22,,
,91,0.0031824721954762936,22,,
,91,,22,0.0035919363144785166,
1e-05,92,,,,
,92,0.004008199088275433,23,,
,93,0.004171945154666901,23,,
,94,0.0032702209427952766,23,,
,95,0.003114445833489299,23,,
,95,,23,0.00349212228320539,
1e-05,96,,,,
,96,0.003915281500667334,24,,
,97,0.0040437025018036366,24,,
,98,0.00318323727697134,24,,
,99,0.0030697411857545376,24,,
,99,,24,0.0033952759113162756,
1e-05,100,,,,
,100,0.003862336277961731,25,,
,101,0.003956821747124195,25,,
,102,0.003069699741899967,25,,
,103,0.0030050650238990784,25,,
,103,,25,0.0033012907952070236,
1e-05,104,,,,
,104,0.0037373872473835945,26,,
,105,0.003876484464854002,26,,
,106,0.0029876562766730785,26,,
,107,0.002835511462762952,26,,
,107,,26,0.0032094481866806746,
1e-05,108,,,,
,108,0.003641592338681221,27,,
,109,0.0037821943406015635,27,,
,110,0.002871870528906584,27,,
,111,0.0026988827157765627,27,,
,111,,27,0.003120252164080739,
1e-05,112,,,,
,112,0.0035795297008007765,28,,
,113,0.0036949750501662493,28,,
,114,0.0027661700733006,28,,
,115,0.002617332385852933,28,,
,115,,28,0.0030342189129441977,
1e-05,116,,,,
,116,0.0034510144032537937,29,,
,117,0.0036147714126855135,29,,
,118,0.0027162767946720123,29,,
,119,0.0024937503039836884,29,,
,119,,29,0.002950730500742793,
1e-05,120,,,,
,120,0.0033937098924070597,30,,
,121,0.003529562149196863,30,,
,122,0.002623133361339569,30,,
,123,0.0023996576201170683,30,,
,123,,30,0.0028692500200122595,
1e-05,124,,,,
,124,0.003268968779593706,31,,
,125,0.003448395524173975,31,,
,126,0.0025664204731583595,31,,
,127,0.002391911344602704,31,,
,127,,31,0.0027908417396247387,
1e-05,128,,,,
,128,0.0032259742729365826,32,,
,129,0.0033433232456445694,32,,
,130,0.0024651018902659416,32,,
,131,0.0023293113335967064,32,,
,131,,32,0.0027144760824739933,
1e-05,132,,,,
,132,0.003144934307783842,33,,
,133,0.003280571661889553,33,,
,134,0.002354788826778531,33,,
,135,0.002231830731034279,33,,
,135,,33,0.0026408876292407513,
1e-05,136,,,,
,136,0.00311581464484334,34,,
,137,0.0032239966094493866,34,,
,138,0.002333943033590913,34,,
,139,0.002147593768313527,34,,
,139,,34,0.0025697951205074787,
1e-05,140,,,,
,140,0.0029830047860741615,35,,
,141,0.003130326047539711,35,,
,142,0.0022459174506366253,35,,
,143,0.002098217373713851,35,,
,143,,35,0.0025008239317685366,
