lr-AdamW,step,train_loss,epoch,val_loss,test_loss
0.001,0,,,,
,0,0.0006945663481019437,0,,
,1,0.0007242570864036679,0,,
,2,0.0004795726272277534,0,,
,3,0.0002621190214995295,0,,
,4,0.00019950672867707908,0,,
,5,0.0003208131529390812,0,,
,6,0.0004580545355565846,0,,
,7,0.00035343324998393655,0,,
,8,0.00021639489568769932,0,,
,9,0.00023025441623758525,0,,
,10,0.0002563919697422534,0,,
,11,0.0006565575022250414,0,,
,12,0.0002646025677677244,0,,
,13,0.00017946146545000374,0,,
,14,0.00013374167610891163,0,,
,15,9.133232379099354e-05,0,,
,15,,0,0.00029330034158192575,
0.001,16,,,,
,16,0.0003579261538106948,1,,
,17,0.0006125593208707869,1,,
,18,0.00024118820147123188,1,,
,19,0.00022294506197795272,1,,
,20,0.00022845357307232916,1,,
,21,0.0002053310163319111,1,,
,22,0.00027461189893074334,1,,
,23,0.00022546730178873986,1,,
,24,0.0002220608585048467,1,,
,25,0.00016875054279807955,1,,
,26,0.00018205109518021345,1,,
,27,0.0006376595119945705,1,,
,28,0.0003268962900619954,1,,
,29,0.0001562937250128016,1,,
,30,0.00013164622941985726,1,,
,31,9.908115316648036e-05,1,,
,31,,1,0.00038600590778514743,
0.001,32,,,,
,32,0.00036001979606226087,2,,
,33,0.000887043250259012,2,,
,34,0.00025973774609155953,2,,
,35,0.00019696583331096917,2,,
,36,0.00020916241919621825,2,,
,37,0.0002031379844993353,2,,
,38,0.00030972162494435906,2,,
,39,0.0001379005261696875,2,,
,40,0.0002207637153333053,2,,
,41,0.00013914910960011184,2,,
,42,0.00016152214084286243,2,,
,43,0.0006218614871613681,2,,
,44,0.00026629044441506267,2,,
,45,0.00014047915465198457,2,,
,46,0.00010414624557597563,2,,
,47,7.36756919650361e-05,2,,
,47,,2,0.0004430234257597476,
0.001,48,,,,
,48,0.0007566253771074116,3,,
,49,0.0008557503460906446,3,,
,50,0.0003134532307740301,3,,
,51,0.00021887420734856278,3,,
,52,0.0002124437887687236,3,,
,53,0.00027591586695052683,3,,
,54,0.00041561893885955215,3,,
,55,0.00022148172138258815,3,,
,56,0.00026696277200244367,3,,
,57,0.000146843318361789,3,,
,58,0.00017660438606981188,3,,
,59,0.0006289870361797512,3,,
,60,0.00034816577681340277,3,,
,61,0.00021203068899922073,3,,
,62,0.00014420668594539165,3,,
,63,5.940972550888546e-05,3,,
,63,,3,0.000331184797687456,
0.001,64,,,,
,64,0.00022246639127843082,4,,
,65,0.0007359631126746535,4,,
,66,0.0002585327601991594,4,,
,67,0.00020863680401816964,4,,
,68,0.00018308867583982646,4,,
,69,0.0001642651332076639,4,,
,70,0.0002970443165395409,4,,
,71,0.00017693053814582527,4,,
,72,0.00022638625523541123,4,,
,73,0.00014023730182088912,4,,
,74,0.0001560062519274652,4,,
,75,0.0006426526233553886,4,,
,76,0.0003796104865614325,4,,
,77,0.000180561444722116,4,,
,78,0.00011740764603018761,4,,
,79,6.049510193406604e-05,4,,
,79,,4,0.00026513595366850495,
0.001,80,,,,
,80,0.0013308030320331454,5,,
,81,0.0012188494438305497,5,,
,82,0.0005882531404495239,5,,
,83,0.00032449717400595546,5,,
,84,0.00019324100867379457,5,,
,85,0.00017391095752827823,5,,
,86,0.0003290900494903326,5,,
,87,0.00015291167073883116,5,,
,88,0.0002330509014427662,5,,
,89,0.00014804543752688915,5,,
,90,0.00021905255562160164,5,,
,91,0.0006759268580935895,5,,
,92,0.0002582708257250488,5,,
,93,0.00016455506556667387,5,,
,94,0.0001486167311668396,5,,
,95,7.947158883325756e-05,5,,
,95,,5,0.0003421094734221697,
0.001,96,,,,
,96,0.0006709895678795874,6,,
,97,0.0012940987944602966,6,,
,98,0.000534453138243407,6,,
,99,0.0003407576587051153,6,,
,100,0.00021952265524305403,6,,
,101,0.00018108599761035293,6,,
,102,0.00029368410469032824,6,,
,103,0.00013691670028492808,6,,
,104,0.0002165714540751651,6,,
,105,0.00016204228450078517,6,,
,106,0.0001853859139373526,6,,
,107,0.0006003431044518948,6,,
,108,0.00027577942819334567,6,,
,109,0.00018044955504592508,6,,
,110,0.00014453114999923855,6,,
,111,6.787138408981264e-05,6,,
,111,,6,0.0003093132399953902,
0.001,112,,,,
,112,0.0027709186542779207,7,,
,113,0.0020836114417761564,7,,
,114,0.0006319612148217857,7,,
,115,0.00024051472428254783,7,,
,116,0.00019926924142055213,7,,
,117,0.0002662283950485289,7,,
,118,0.0003963736817240715,7,,
,119,0.00017616072727832943,7,,
,120,0.00023289314412977546,7,,
,121,0.00015127738879527897,7,,
,122,0.00019750122737605125,7,,
,123,0.0006410402129404247,7,,
,124,0.0002781968214549124,7,,
,125,0.00017308648966718465,7,,
,126,0.00017203978495672345,7,,
,127,0.00011050979810534045,7,,
,127,,7,0.00037687760777771473,
0.001,128,,,,
,128,0.0005898753297515213,8,,
,129,0.001311974017880857,8,,
,130,0.0003675105981528759,8,,
,131,0.00021941284649074078,8,,
,132,0.00017804765957407653,8,,
,133,0.00017135766393039376,8,,
,134,0.00030277727637439966,8,,
,135,0.00014544287114404142,8,,
,136,0.00022770049690734595,8,,
,137,0.0001918509224196896,8,,
,138,0.0001849647960625589,8,,
,139,0.0006209101411513984,8,,
,140,0.0002660333411768079,8,,
,141,0.00017825748363975435,8,,
,142,0.00015663570957258344,8,,
,143,0.00011667416401905939,8,,
,143,,8,0.00038585063884966075,
0.001,144,,,,
,144,0.0005584771279245615,9,,
,145,0.000799410103354603,9,,
,146,0.0003216808254364878,9,,
,147,0.00022549401910509914,9,,
,148,0.00018843309953808784,9,,
,149,0.0001800857571652159,9,,
,150,0.00029409132548607886,9,,
,151,0.00014819235366303474,9,,
,152,0.0002249889075756073,9,,
,153,0.00014168360212352127,9,,
,154,0.0001890042331069708,9,,
,155,0.0006246139528229833,9,,
,156,0.00023205482284538448,9,,
,157,0.00013418392336461693,9,,
,158,0.00011816246114904061,9,,
,159,7.416168227791786e-05,9,,
,159,,9,0.00035599927650764585,
0.001,160,,,,
,160,0.0002702813071664423,10,,
,161,0.000737583904992789,10,,
,162,0.00030812734621576965,10,,
,163,0.00023804201919119805,10,,
,164,0.00018959844601340592,10,,
,165,0.0001691725046839565,10,,
,166,0.00027903009322471917,10,,
,167,0.0001598735834704712,10,,
,168,0.0002458479139022529,10,,
,169,0.0002063861466012895,10,,
,170,0.000202024239115417,10,,
,171,0.0006288296426646411,10,,
,172,0.00025459768949076533,10,,
,173,0.00014318896865006536,10,,
,174,0.00011315181473037228,10,,
,175,4.9830716307042167e-05,10,,
,175,,10,0.0002640268357936293,
0.001,176,,,,
,176,0.00018028898921329528,11,,
,177,0.0005847932770848274,11,,
,178,0.0002375210024183616,11,,
,179,0.00020819128258153796,11,,
,180,0.0001891022257041186,11,,
,181,0.0001750394148984924,11,,
,182,0.00028184440452605486,11,,
,183,0.0001536602503620088,11,,
,184,0.00022205611458048224,11,,
,185,0.00013814341218676418,11,,
,186,0.00017267958901356906,11,,
,187,0.0006327320588752627,11,,
,188,0.0002405410195933655,11,,
,189,0.0001396141160512343,11,,
,190,0.00010687325266189873,11,,
,191,5.1288130634929985e-05,11,,
,191,,11,0.00026625688769854605,
0.001,192,,,,
,192,0.00022811237431596965,12,,
,193,0.0006050254451110959,12,,
,194,0.0002528997720219195,12,,
,195,0.00022262948914431036,12,,
,196,0.0001961077650776133,12,,
,197,0.0001662084396230057,12,,
,198,0.00027245873934589326,12,,
,199,0.0001362436596537009,12,,
,200,0.00020952490740455687,12,,
,201,0.00014575487875845283,12,,
,202,0.00017019713413901627,12,,
,203,0.0006274431943893433,12,,
,204,0.0002347245899727568,12,,
,205,0.00013642676640301943,12,,
,206,0.00010923312947852537,12,,
,207,5.2626317483372986e-05,12,,
,207,,12,0.0002651978866197169,
0.001,208,,,,
,208,0.00017714730347506702,13,,
,209,0.0005900160758756101,13,,
,210,0.0002329568815184757,13,,
,211,0.00019823992624878883,13,,
,212,0.00018844852456822991,13,,
,213,0.000165328208822757,13,,
,214,0.00026912495377473533,13,,
,215,0.00013566273264586926,13,,
,216,0.0002118279953720048,13,,
,217,0.00015152976266108453,13,,
,218,0.0001684175804257393,13,,
,219,0.0006148783140815794,13,,
,220,0.0002376367774559185,13,,
,221,0.00013370129454415292,13,,
,222,0.0001045715034706518,13,,
,223,5.3315816330723464e-05,13,,
,223,,13,0.00026461464585736394,
0.001,224,,,,
,224,0.00017682166071608663,14,,
,225,0.000606721150688827,14,,
,226,0.0002333182783331722,14,,
,227,0.00020071584731340408,14,,
